id,name,house,category,price,originalPrice,size,badge,shape,color_dark,color_light,image,notes_top,notes_heart,notes_base,description
ameerat-al-arab-red,Ameerat Al Arab (Red),Asdaaf,women,50,60,100ml EDP,,round,#6e1018,#c4404a,,"Red Fruits, Saffron","Rose, Jasmine","Vanilla, Amber, Musk","Sweet, smooth and slightly fruity. A soft yet rich scent with a luxurious feel."
badee-honor-glory,Bade'e Al Oud – Honor & Glory,Asdaaf,unisex,50,60,100ml EDP,,square,#7a6a2a,#d8c98a,,"Pineapple, Bergamot","Spices, Orris","Vanilla, Amber, Woods","A luxurious blend of sweet pineapple, warm spices and creamy vanilla. Rich and elegant."
badee-oud-for-glory,Bade'e Al Oud – Oud for Glory,Asdaaf,unisex,50,60,100ml EDP,,square,#1a1208,#7a5a2a,,"Saffron, Spices","Oud, Patchouli","Woods, Amber, Musk","A bold, smoky oud fragrance with warm spices and deep woody notes. Rich and intense."
badee-noble-blush,Bade'e Al Oud – Noble Blush,Asdaaf,women,50,55,100ml EDP,,round,#7a3a4a,#e0a0aa,,"Pink Pepper, Berries","Rose Milk, Jasmine","Vanilla, Musk","A soft, creamy gourmand with rose milk, vanilla and musk. Sweet, tender and pretty."
badee-sublime,Bade'e Al Oud – Sublime,Asdaaf,unisex,50,60,100ml EDP,,square,#5a1018,#b03a3a,,"Apple, Plum","Soft Oud, Rose","Amber, Vanilla, Musk","A juicy, fruity scent with apple and plum wrapped in soft oud. Sweet, fresh and elegant."
badee-amethyst,Bade'e Al Oud – Amethyst,Asdaaf,unisex,50,55,100ml EDP,,square,#3a1a4a,#9a6ac6,,"Saffron, Rose","Oud, Orris","Vanilla, Amber, Woods","A rich blend of oud, rose and vanilla with a luxurious oriental touch. Bold and smoky."
yara,Yara,Lattafa,women,50,60,100ml EDP,Best Seller,round,#d96aa0,#f3c2d8,,"Orchid, Tropical Fruits","Heliotrope, Gourmand Accord","Vanilla, Musk","A sweet tropical fragrance with vanilla, fruits and soft musk. Feminine, playful and long-lasting."
yara-tous,Yara Tous,Lattafa,women,50,60,100ml EDP,,round,#c98a1e,#f0cf7a,,"Mango, Coconut","Jasmine, Orchid","Vanilla, Musk","A bright tropical fragrance bursting with juicy mango, coconut and soft jasmine."
yara-moi,Yara Moi,Lattafa,women,50,60,100ml EDP,,round,#9a7a3a,#e8d6a8,,"Caramel, Bergamot","Jasmine, Orange Blossom","Vanilla, Musk, Sandalwood","A creamy floral scent with caramel, vanilla and jasmine. Soft, elegant and comforting."
yara-candy,Yara Candy,Lattafa,women,50,65,100ml EDP,,round,#c41e5a,#f06a9a,,"Strawberry, Candy","Vanilla, Florals","Musk, Caramel","A playful scent filled with strawberry candy, sweet vanilla and soft musk. Fun and flirty."
yara-elixir,Yara Elixir,Lattafa,women,50,55,100ml EDP,New,round,#a83a6a,#e89ab8,,"Sweet Fruits, Bergamot","Vanilla, Florals","Musk, Amber","A luxurious blend of sweet fruits, creamy vanilla and delicate florals. Feminine and refined."
eclaire,Eclaire,Lattafa,women,55,60,100ml EDP,,tall,#9a7a2a,#e8cf8a,,"Pear, Sweet Notes","Cream, Vanilla","Caramel, Musk","Sweet, creamy and feminine. Dessert-like and addictive from first spray to dry-down."
eclaire-pistache,Eclaire Pistache,Lattafa,women,55,70,100ml EDP,New,tall,#5a7a3a,#a8c87a,,"Pistachio, Almond","Cream, Vanilla","Caramel, Musk","Sweet and nutty with a creamy pistachio twist. Unique, gourmand and addictive."
eclaire-banoffi,Eclaire Banoffi,Lattafa,women,55,60,100ml EDP,New,tall,#9a7a3a,#e0c98a,,"Banana, Toffee","Cream, Vanilla","Caramel, Musk","A delicious gourmand inspired by the classic banoffee dessert. Rich, sweet and irresistible."
fakhar-women,Fakhar Women,Lattafa,women,55,60,100ml EDP,,round,#b07a3a,#e8c98a,,"Florals, Bergamot","Powdery Notes, Iris","Musk, Sandalwood","Soft floral with a powdery finish. Feminine, elegant and effortlessly graceful."
fakhar-black-men,Fakhar Black Men,Lattafa,men,55,60,100ml EDP,,round,#14141a,#7a7a84,,"Apple, Bergamot","Lavender, Geranium","Amber, Woods, Musk","A fresh, woody fragrance with apple, bergamot, lavender and warm amber. Sharp and refined."
ajwad,Ajwad,Lattafa,unisex,50,55,60ml EDP,,round,#7a2240,#d4708f,,"Pink Fruits, Bergamot","Jasmine, Bitter Almond","Vanilla, Oakmoss, Woods","A warm, fruity-woody fragrance with sweet vanilla and soft floral notes. Elegant and inviting."
angham,Angham,Lattafa,women,55,60,100ml EDP,,tall,#9a8a4a,#e8dca8,,"Florals, Bergamot","Jasmine, Rose","Musk, Sandalwood","Elegant, soft and slightly sweet. A smooth floral scent with a clean, luxurious finish."
victoria,Victoria,Lattafa,women,55,65,100ml EDP,,round,#1a3a5a,#6a9ac6,,"Citrus, Berries","Florals, Peony","Musk, Woods","Fresh, slightly sweet and radiant. A beautifully balanced scent for any occasion."
raneen,Raneen,Lattafa,women,55,60,100ml EDP,,round,#a83a5a,#e89ab0,,"Fruits, Bergamot","Jasmine, Rose","Musk, Amber",A charming floral-fruity fragrance with soft musky undertones. Feminine and elegant.
habik-women,Habik Women,Lattafa,women,55,60,100ml EDP,,tall,#7a2a5a,#c46aa0,,"Pear, Bergamot","Jasmine, Florals","Musk, Amber","A fresh floral-fruity fragrance with juicy pear, soft jasmine and warm musky amber."
ana-abiyedh-rouge,Ana Abiyedh Rouge,Lattafa,unisex,55,60,60ml EDP,,tall,#7a1a2a,#d46a7a,,"Saffron, Cardamom","Musk, Amber","Woods, Vanilla","A luxurious scent with sweet, musky and amber accords. Modern, elegant and clean."
her-confession,Her Confession,Lattafa,women,60,70,100ml EDP,,tall,#9a8a5a,#e8dcb8,,"Florals, Bergamot","Cream, Jasmine","Vanilla, Musk","Soft, creamy and delicately sweet with a gentle floral touch. Feminine and elegant."
his-confession,His Confession,Lattafa,men,60,70,100ml EDP,,tall,#14141a,#5a5a64,,"Spices, Bergamot","Woods, Leather","Amber, Musk","Bold, woody and masculine. Strong, confident and long-lasting."
9pm,9PM,Afnan,men,60,70,100ml EDP,Best Seller,square,#1a1224,#6a5a8a,,"Apple, Cinnamon, Bergamot","Orange Blossom, Lavender","Vanilla, Tonka, Amber","Sweet vanilla with a fresh, fruity touch. Seductive yet easy — perfect for everyday wear."
9pm-rebel,9PM Rebel,Afnan,men,60,65,100ml EDP,,tall,#3a1418,#b03a3a,,"Fruits, Bergamot","Spices, Florals","Woods, Vanilla, Amber",A modern sweet-fresh scent with fruity and woody notes. Confident and youthful.
9pm-elixir,9PM Elixir,Afnan,men,60,65,100ml EDP,,square,#3a1d0c,#9c6b2f,,"Spices, Apple","Florals, Cinnamon","Vanilla, Woods, Amber","Sweet, spicy notes with vanilla and warm woods. Made for evenings and date nights."
9pm-night-out,9PM Night Out,Afnan,men,70,80,100ml EDP,,square,#14141a,#6a6a74,,"Fruits, Spices","Florals, Woods","Vanilla, Amber, Musk",A modern fragrance with sweet and woody notes that shines after dark. Confident and bold.
supremacy-collectors,Supremacy Collector's Edition,Afnan,men,55,60,100ml EDP,,tall,#3a3a42,#b8b8c2,,"Fruits, Bergamot","Woods, Florals","Musk, Amber",Fresh fruity notes mixed with woods and musk for a refined luxury scent. Smooth and elegant.
supremacy-noir,Supremacy Noir,Afnan,men,55,60,100ml EDP,,tall,#101014,#4a4a54,,"Spices, Bergamot","Smoky Woods, Leather","Amber, Musk","Dark, smoky woods blended with spices and fresh accords. Masculine and powerful."
amber-oud-gold,Amber Oud Gold Edition,Al Haramain,unisex,55,60,120ml EDP,Best Seller,square,#9a7b1e,#e8c95a,,"Tropical Fruits, Bergamot","Amber, Sweet Notes","Vanilla, Musk, Woods","A sweet, fruity-amber scent with tropical freshness and creamy warmth. Rich and radiant — liquid gold."
amber-oud-dubai-night,Amber Oud Dubai Night,Al Haramain,unisex,55,60,60ml EDP,,square,#1a1a4a,#5a5ac6,,"Spices, Bergamot","Amber, Woods","Musk, Vanilla","An intense oriental fragrance with amber, woods and warm spices. Deep and luxurious."
amber-oud-aqua-dubai,Amber Oud Aqua Dubai,Al Haramain,unisex,55,60,60ml EDP,,tall,#0e3a5a,#3fb0e6,,"Marine Notes, Citrus","Florals, Amber","Woods, Musk",A refreshing fragrance inspired by aquatic freshness and modern sophistication.
amber-oud-ruby,Amber Oud Ruby Edition,Al Haramain,unisex,55,60,60ml EDP,,square,#6e1018,#c4404a,,"Berries, Bergamot","Amber, Florals","Woods, Musk, Vanilla","A luxurious, sweet-woody fragrance with warm amber and rich floral notes. Elegant and bold."
club-de-nuit-intense-man,Club de Nuit Intense Man,Armaf,men,55,60,105ml EDT,Best Seller,tall,#101418,#3a4a5a,,"Lemon, Blackcurrant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Vanilla","A bold, fresh-smoky fragrance with citrus, woods and musk. Legendary projection and longevity."
club-de-nuit-women,Club de Nuit Women,Armaf,women,55,60,105ml EDP,,round,#b07a4a,#e8c8a0,,"Citrus, Berries","Florals, Jasmine","Musk, Amber, Vanilla",Chic and classy floral scent with a hint of citrus. Elegant and long-lasting.
now-women,Now Women,Rave,women,55,70,100ml EDP,,round,#d98aa8,#f0c8d8,,"Fruits, Bergamot","Florals, Peony","Musk, Cedar","Light, fruity and floral. Fresh and playful — perfect for daily wear."
vanilla-voyage,Vanilla Voyage,Maison Asrar,unisex,55,60,100ml EDP,,round,#7a5a2a,#d8b87a,,"Vanilla, Bergamot","Gourmand Accord, Tonka","Sandalwood, Musk","A creamy vanilla fragrance with warm gourmand notes. Sweet, comforting and cozy."
